,bptf,cbfa2t3h,csf1r,dnmt3a,eif2b1,erg,ets1,ets2,etv6,fli1,gata1,gata2,gata3,gfi1,gfi1b,hhex,hoxa5,hoxa9,hoxb4,ikzf1,itga2b,kit,ldb1,lmo2,lyl1,mecom,meis1,mitf,mpl,myb,nfe2,nkx23,notch,pbx1,prdm16,procr,runx1,scl,sfpi1,sh2b3,smarcc1,tcf7,tet2,vwf
gata1,0.26695,0.4137,0.26852,0.20349,0.47527,-0.073877,0.19081,0.26812,0.25642,0.039174,1.1534,-0.3296,-0.43945,0.035813,0.27639,0.053319,-0.15933,-0.16561,-0.17641,0.3056,0.10379,-0.12779,0.12328,-0.26479,-0.18509,-0.565,-0.57685,-0.12732,-0.61793,0.35035,-0.0030933,-0.47443,-0.1895,-0.25296,-0.26433,-0.53501,0.17157,0.11805,-0.36569,-0.14607,0.22896,-0.11937,-0.041071,-0.26186
gata2,-0.35373,-0.32064,-0.51796,-0.42499,-0.43367,-0.3795,-0.25217,-0.43066,-0.42213,-0.31747,-0.3296,0.03335,-0.11927,0.22581,-0.19001,0.046631,-0.0054538,0.236,-0.055101,0.21595,-0.37658,0.069362,0.079928,0.066093,0.10432,0.16911,0.081151,-0.09399,0.1531,0.09783,0.050311,0.33115,0.17923,-0.033414,0.054127,0.16388,-0.014316,-0.19469,0.072319,-0.087442,-0.01755,-0.16479,-0.12342,-0.067823
gata3,-0.24138,-0.23151,-0.37316,-0.26307,-0.31354,-0.098119,-0.085682,-0.22575,-0.27934,-0.21785,-0.43945,-0.11927,0.72921,0.22544,-0.20437,-0.019357,0.017148,0.21409,-0.033185,0.1303,-0.25955,-0.10133,0.035358,0.049869,0.089741,0.10681,0.083397,-0.023342,0.07931,-0.068585,-0.087976,0.25329,0.1904,-0.050734,0.0073398,0.17372,-0.095672,-0.097657,0.085673,0.036121,-0.10946,0.0071413,-0.085268,-0.071672
gfi1,0.18767,0.19047,0.294,0.18887,0.15032,0.27005,0.12154,0.25352,0.21339,0.27957,0.035813,0.22581,0.22544,1.0287,-0.096753,0.035168,-0.067959,-8.34E-05,-0.060296,0.10814,0.12658,-0.18109,-0.075213,-0.19713,-0.056816,-0.31323,-0.17855,0.05733,-0.40914,0.096534,-0.05057,-0.26573,-0.054372,-0.14791,-0.16791,-0.1992,0.01514,-0.00108,0.0037306,-0.043834,0.013903,0.022771,0.065857,-0.21918
gfi1b,0.045093,0.12471,-0.018655,0.0012761,0.082276,-0.13424,0.039595,0.10082,-0.043117,-0.062524,0.27639,-0.19001,-0.20437,-0.096753,0.82978,0.10533,-0.10954,-0.036321,-0.10844,0.25131,-0.058368,-0.018539,0.1212,-0.12484,-0.014736,-0.25063,-0.3239,-0.12706,-0.31571,0.27134,0.060294,-0.18388,-0.074634,-0.1112,-0.10717,-0.25867,0.12628,0.07737,-0.25135,-0.10772,0.14589,-0.14593,-0.087759,-0.05271
hhex,0.065718,0.079871,-0.00076032,-0.0055756,0.064038,0.011542,-0.077618,0.098517,0.064818,0.056027,0.053319,0.046631,-0.019357,0.035168,0.10533,0.98296,-0.0068208,0.037486,-0.11008,0.24654,-0.017936,-0.052435,0.072085,-0.14715,0.0041015,-0.24201,-0.17092,0.028673,-0.32593,0.18691,0.034144,-0.17415,-0.011464,-0.15156,-0.12848,-0.18866,0.063266,-0.042284,-0.091054,-0.11163,0.071474,-0.13437,0.002646,-0.19068
hoxa5,-0.010099,-0.072191,-0.074614,-0.035664,-0.11049,0.045485,0.00024507,-0.06125,-0.084877,-0.032231,-0.15933,-0.0054538,0.017148,-0.067959,-0.10954,-0.0068208,0.93768,0.16391,-0.013991,0.072989,-0.17458,-0.17647,0.011315,-0.043109,-0.06084,-0.002602,-0.056279,-0.016587,-0.056028,-0.096318,-0.16642,0.096143,0.10095,-0.097007,-0.027578,0.063955,-0.10478,-0.075947,0.0091466,0.0035106,-0.097636,-0.015945,-0.084058,-0.062059
hoxa9,0.019154,-0.04636,-0.092757,0.055015,-0.057078,0.1346,0.035129,0.030197,0.011015,0.085038,-0.16561,0.236,0.21409,-8.34E-05,-0.036321,0.037486,0.16391,0.96877,0.016553,0.019357,-0.011537,-0.18703,-0.063695,-0.10243,0.0029773,-0.10996,-0.047615,0.00016819,-0.13738,-0.056364,-0.13942,0.026654,0.069132,-0.12088,-0.087902,-0.0059531,-0.089336,-0.046615,0.059692,0.044079,-0.079619,0.10037,0.023299,-0.11737
hoxb4,-0.065701,-0.12323,-0.014788,-0.039664,-0.063172,-0.017586,0.0068041,-0.10647,-0.014417,-0.041523,-0.17641,-0.055101,-0.033185,-0.060296,-0.10844,-0.11008,-0.013991,0.016553,0.92676,0.1221,-0.16987,-0.17859,0.014948,-0.0048145,0.0015904,-0.11066,-0.033045,-0.071893,-0.09171,-0.030335,-0.13732,0.080305,0.17733,-0.11132,-0.070552,-0.0066959,-0.05468,-0.10361,0.11446,0.079624,-0.062362,0.027103,0.0094742,-0.093391
ikzf1,0.28491,0.29943,0.087416,0.16659,0.17315,0.071933,-0.028701,0.16268,0.1965,0.12887,0.3056,0.21595,0.1303,0.10814,0.25131,0.24654,0.072989,0.019357,0.1221,1.0012,0.184,0.042022,0.063796,-0.21654,-0.05397,-0.38402,-0.29232,-0.033459,-0.53833,0.34297,0.060342,-0.36085,-0.16884,-0.18938,-0.17937,-0.38938,0.19268,0.070756,-0.16586,-0.077226,0.20437,-0.083465,0.055595,-0.3434
itga2b,-0.0091135,0.026247,0.21589,0.045406,0.13678,0.0081674,0.14596,-0.099336,0.073619,0.15809,0.10379,-0.37658,-0.25955,0.12658,-0.058368,-0.017936,-0.17458,-0.011537,-0.16987,0.184,0.74113,-0.20076,0.011935,-0.17371,-0.11703,-0.32249,1.60E-05,-0.11391,-0.20493,0.1495,-0.022644,-0.14785,0.0013702,0.046948,-0.15864,-0.3601,0.16305,-0.029548,0.043592,-0.06422,0.1354,-0.012414,-0.074196,-0.080954
