"","bptf","cbfa2t3h","csf1r","dnmt3a","eif2b1","erg","ets1","ets2","etv6","fli1","gata1","gata2","gata3","gfi1","gfi1b","hhex","hoxa5","hoxa9","hoxb4","ikzf1","itga2b","kit","ldb1","lmo2","lyl1","mecom","meis1","mitf","mpl","myb","nfe2","nkx23","notch","pbx1","prdm16","procr","runx1","scl","sfpi1","sh2b3","smarcc1","tcf7","tet2","vwf"
"hsc34_287",0.274846280000002,-0.504656849999996,10.846834425,-0.960389589999998,13.74808015,0.0421232000000025,14.250761225,0.911358320000001,-0.975639769999997,-2.96383877,12.847368825,-0.048492429999996,13.217904125,14.62068405,2.65864013,12.92443505,0.694926210000002,2.47156693,14.638774655,-0.616717039999997,13.734283405,-2.1821721,-0.560993319999998,-1.19291643,-0.785989549999996,-2.56412968,-2.95924813,13.62845664,-2.31539897,1.222109,0.313471690000004,-0.528018489999997,15.288339,2.03300768,14.138817785,-0.242046039999998,4.85506701,8.13113004,2.1339978,3.41332857,2.13048988,13.013110955,2.41084603,-0.766170489999997
"hsc34_288",0.37648454,1.34278538,10.846834425,-0.02345854,1.615343,2.20005707,3.65565516,14.33854771,0.39122287,-0.48603799,12.847368825,4.19302261,13.217904125,14.62068405,1.84574423,12.92443505,14.03689202,2.47629908,14.638774655,0.313466769999998,13.734283405,-0.50013392,0.0449454699999983,-0.434608700000002,-1.54238379,10.958766455,-2.61572971,13.62845664,11.91385479,0.282686909999999,0.743550209999999,12.727203855,15.288339,14.969034275,14.138817785,1.88371244,7.27754109,1.63906583,0.0225058999999987,14.690264245,0.203765799999999,13.013110955,2.09225213,13.028767495
"hsc34_289",-1.036623175,2.117783275,10.846834425,1.331939235,-0.0626913850000008,1.374821875,14.250761225,14.33854771,-0.561217225,-0.768594135000001,12.847368825,13.535930875,13.217904125,14.62068405,12.377589445,12.92443505,14.03689202,1.625162335,14.638774655,-0.0317576050000028,13.734283405,-2.013768115,0.599772065,-1.276812965,-1.130404585,10.958766455,-1.025745435,13.62845664,11.91385479,-0.330941344999999,0.0986979949999984,12.727203855,15.288339,2.250066245,1.722742895,10.6322523855,4.488424055,3.659606545,-1.155219675,4.577986495,-0.944600675,13.013110955,13.93908965,13.028767495
"hsc34_290",0.0136510299999983,14.8791936,10.846834425,0.62306366,1.08151935,0.67871847,14.250761225,0.800630429999998,-0.506873200000001,-3.45305689,12.847368825,0.305161419999997,-0.53829786,14.62068405,1.52732792,0.360590719999998,14.03689202,7.1647426,14.638774655,1.03582205,1.40096139,-1.66266945,14.15837979,-2.72990559,-1.55898624,-1.26776794,-3.72256806,13.62845664,-2.94767176,-0.395503700000003,0.78504431,0.986227629999998,6.79515006,-0.0297051600000025,14.138817785,0.861411449999999,3.65810233,14.708900125,1.84175886,14.690264245,-0.617431679999999,13.013110955,1.9339931,-1.24407532
"hsc34_291",-1.16258568,14.8791936,10.846834425,-0.735245150000001,13.74808015,0.371075940000001,3.45069106,1.52903153,1.39243751,-1.18858226,12.847368825,13.535930875,13.217904125,14.62068405,2.53352362,0.835935809999999,14.03689202,0.62144911,14.638774655,0.653639300000002,13.734283405,-1.05207694,14.15837979,-1.00090209,-0.912406480000001,0.573894679999999,-1.82186455,13.62845664,0.179707319999999,-0.55062066,0.435496100000002,12.727203855,15.288339,4.15343971,14.138817785,1.7155483,5.37135775,0.32506188,0.476630400000001,14.690264245,2.06828484,13.013110955,13.93908965,13.028767495
"hsc34_292",1.514107625,0.600502814999999,10.846834425,-0.045745844999999,2.107357775,0.828735335000001,14.250761225,1.237518295,-1.056785625,-1.611876665,12.847368825,1.039594995,0.137423595000001,14.62068405,-0.499116555000001,12.92443505,14.03689202,1.930632475,14.638774655,1.293431765,2.167898575,-2.178591105,1.469148245,-1.989843375,-1.479582175,0.146362974999999,-2.317585405,13.62845664,-2.805876395,0.915043005000001,-0.659885795000001,0.484797465,9.490752715,2.288377445,14.138817785,10.6322523855,6.757793465,1.435749045,-0.0505730849999999,14.690264245,0.340115375,13.013110955,1.894071735,13.028767495
"hsc34_293",-0.356027259999998,2.53249379,2.04375103,10.169183,0.735906380000003,0.790337740000002,14.250761225,14.33854771,-0.946138249999999,-0.0113883299999991,12.847368825,13.535930875,13.217904125,1.84913734,12.377589445,1.23472044,14.03689202,4.82986569,1.32432607,-0.23590999,13.734283405,-1.37921815,0.00643379999999993,-1.72640992,-1.08337022,10.958766455,-1.94621907,1.07982012,0.70432289,-0.17617997,0.0180521100000028,2.01073325,15.288339,14.969034275,2.16808398,10.6322523855,5.62899248,14.708900125,-0.248971099999999,14.690264245,-1.06669924,13.013110955,3.3550096,13.028767495
"hsc34_294",-1.504998335,-0.0275578050000007,10.846834425,-1.075256115,13.74808015,-1.688012845,1.707742215,14.33854771,-0.611872405,-2.710877165,12.847368825,-1.662585385,13.217904125,14.62068405,-0.171255015,12.92443505,14.03689202,0.0939658849999994,-0.209618315,-0.882762674999999,13.734283405,-2.670608685,14.15837979,-2.831854645,-3.049098365,10.958766455,-4.951163005,13.62845664,-3.828385305,-2.260590145,-1.403318975,-0.813685814999999,5.403048745,-0.276553955000001,-1.605553085,-0.807322485,5.267591315,-1.622565555,0.469641205000002,14.690264245,-0.289307454999999,13.013110955,13.93908965,13.028767495
"hsc34_295",-0.302991290000001,0.925772309999999,10.846834425,0.903780989999998,0.192101059999999,-0.348034610000003,14.250761225,0.98230581,-0.462891380000002,-2.8800575,12.847368825,0.191530779999997,0.696668509999999,14.62068405,12.377589445,12.92443505,14.03689202,2.20071579,1.50559132,2.01946304,13.734283405,-1.57734706,-0.209382350000002,-1.55468458,-0.963276090000001,1.22449646,-2.83519426,13.62845664,-3.44007781,0.469997679999999,-1.49026949,-0.503503420000001,15.288339,14.969034275,1.10922432,0.375934229999999,5.32126677,14.708900125,-0.380907950000001,14.690264245,-0.412868730000003,13.013110955,0.422198119999997,13.028767495
"hsc34_296",-0.56470187,2.4909147,10.846834425,1.59594084,1.80953161,1.32977245,14.250761225,1.82639797,-0.0398630000000004,-0.83796079,12.847368825,2.65153656,13.217904125,0.18569295,12.377589445,1.05736243,14.03689202,2.88097057,14.638774655,0.283432860000001,13.734283405,-1.21849808,14.15837979,-0.23829946,-0.993600879999999,1.68295086,-2.67235445,1.87200878,-1.23023379,-0.160706309999998,-0.167735189999998,1.24810099,15.288339,1.63028882,14.138817785,0.861550489999999,5.90448711,1.72721052,0.15558785,14.690264245,1.15308425,13.013110955,0.852707380000002,13.028767495
